,14:30:00,14:35:00,14:40:00,14:45:00,14:50:00,14:55:00,15:00:00,15:05:00,15:10:00,15:15:00,15:20:00,15:25:00,15:30:00,15:35:00,15:40:00,15:45:00,15:50:00,15:55:00,16:00:00,16:05:00,16:10:00,16:15:00,16:20:00,16:25:00,16:30:00,16:35:00,16:40:00,16:45:00,16:50:00,16:55:00,17:00:00,17:05:00,17:10:00,17:15:00,17:20:00,17:25:00,17:30:00,17:35:00,17:40:00,17:45:00,17:50:00,17:55:00,18:00:00,18:05:00,18:10:00,18:15:00,18:20:00,18:25:00,18:30:00,18:35:00,18:40:00,18:45:00,18:50:00,18:55:00,19:00:00,19:05:00,19:10:00,19:15:00,19:20:00,19:25:00,19:30:00,19:35:00,19:40:00,19:45:00,19:50:00,19:55:00,20:00:00,20:05:00,20:10:00,20:15:00,20:20:00,20:25:00,20:30:00,20:35:00,20:40:00,20:45:00,20:50:00,20:55:00
2023-01-23 14:30:00+00:00,1308104.0,632224.0,457232.0,674471.0,671434.0,485603.0,507302.0,295442.0,331074.0,296522.0,289644.0,290670.0,435538.0,510451.0,242745.0,337529.0,244717.0,233026.0,331528.0,374162.0,275543.0,404063.0,377083.0,411135.0,281172.0,238527.0,253271.0,214088.0,215550.0,146160.0,213545.0,191701.0,188249.0,236915.0,201375.0,186461.0,292495.0,180358.0,199098.0,296924.0,459754.0,195892.0,315273.0,192903.0,182151.0,189746.0,302161.0,177633.0,277966.0,296227.0,380661.0,320198.0,292852.0,252466.0,136508.0,415547.0,251442.0,409264.0,192129.0,259707.0,202526.0,257324.0,320011.0,348573.0,375737.0,343736.0,409109.0,446221.0,338140.0,366100.0,254677.0,516181.0,430687.0,528151.0,423465.0,688831.0,1069487.0,1790600.0
2023-01-24 14:30:00+00:00,1250795.0,597505.0,479210.0,519383.0,432741.0,424815.0,363340.0,319792.0,334438.0,279895.0,207441.0,207747.0,184602.0,275333.0,233505.0,266095.0,231051.0,259316.0,278573.0,167602.0,194648.0,256988.0,179540.0,313235.0,524176.0,259799.0,166444.0,174173.0,143954.0,118115.0,165312.0,200860.0,215354.0,113478.0,126696.0,113912.0,240758.0,300128.0,270744.0,216630.0,206231.0,174613.0,209510.0,251661.0,121503.0,135895.0,128713.0,130168.0,131941.0,101561.0,194745.0,129655.0,185259.0,151272.0,191450.0,320705.0,304029.0,288685.0,225485.0,245486.0,220055.0,196256.0,371397.0,273416.0,234662.0,241056.0,308161.0,218138.0,384337.0,247196.0,221493.0,234390.0,308530.0,335749.0,433584.0,504847.0,544713.0,1087775.0
2023-01-25 14:30:00+00:00,1389346.0,572426.0,481784.0,345660.0,398614.0,496190.0,681009.0,531336.0,660363.0,384677.0,319525.0,306317.0,353632.0,656820.0,525193.0,372622.0,283627.0,298543.0,303160.0,338742.0,366368.0,418290.0,529131.0,318988.0,426390.0,321209.0,314716.0,278643.0,354259.0,216100.0,261863.0,335287.0,277909.0,155459.0,198620.0,211617.0,214849.0,163064.0,153222.0,153557.0,148883.0,213637.0,246000.0,220692.0,293224.0,151693.0,197249.0,200132.0,201332.0,149315.0,143223.0,205712.0,723812.0,136119.0,207571.0,187380.0,306768.0,478581.0,181643.0,196792.0,134375.0,227726.0,186992.0,171512.0,179231.0,183691.0,309338.0,250471.0,195507.0,239425.0,329124.0,261093.0,347264.0,316232.0,285236.0,353352.0,630672.0,1120701.0
2023-01-26 14:30:00+00:00,1230760.0,455460.0,405866.0,496568.0,328771.0,298028.0,348738.0,234993.0,173955.0,179100.0,239032.0,255446.0,224906.0,322461.0,236499.0,292031.0,226493.0,247641.0,186013.0,213003.0,185813.0,177227.0,188581.0,215970.0,146654.0,136863.0,133504.0,128560.0,158133.0,226388.0,172092.0,242307.0,261630.0,191409.0,132945.0,111452.0,143744.0,130082.0,188333.0,149255.0,656661.0,202722.0,181264.0,164037.0,128532.0,149555.0,247911.0,66004.0,154625.0,148624.0,163006.0,154391.0,120099.0,123605.0,131194.0,235635.0,110460.0,107912.0,100888.0,172442.0,109371.0,118241.0,238809.0,166487.0,732752.0,126483.0,892399.0,232650.0,158745.0,460974.0,304508.0,233762.0,370357.0,415360.0,420632.0,420356.0,785060.0,1341816.0
2023-01-27 14:30:00+00:00,985092.0,634994.0,364269.0,813006.0,509580.0,325943.0,605702.0,413392.0,330752.0,344412.0,355365.0,281128.0,603611.0,347689.0,230426.0,537589.0,975417.0,379321.0,265734.0,298089.0,185467.0,513279.0,256725.0,183571.0,203928.0,228724.0,317673.0,261658.0,206029.0,332110.0,313663.0,35157.0,168591.0,206055.0,290206.0,289333.0,269298.0,268686.0,165160.0,140345.0,138938.0,94796.0,126513.0,161139.0,153405.0,151337.0,134512.0,172560.0,199040.0,227697.0,164341.0,173966.0,104180.0,245925.0,315551.0,257353.0,233011.0,270109.0,151467.0,179439.0,148711.0,130879.0,192660.0,155963.0,125064.0,179817.0,199368.0,251271.0,220547.0,256037.0,244046.0,210630.0,366831.0,324149.0,281057.0,264561.0,686820.0,1260542.0
2023-01-28 14:30:00+00:00,985092.0,634994.0,364269.0,813006.0,509580.0,325943.0,605702.0,413392.0,330752.0,344412.0,355365.0,281128.0,603611.0,347689.0,230426.0,537589.0,975417.0,379321.0,265734.0,298089.0,185467.0,513279.0,256725.0,183571.0,203928.0,228724.0,317673.0,261658.0,206029.0,332110.0,313663.0,35157.0,168591.0,206055.0,290206.0,289333.0,269298.0,268686.0,165160.0,140345.0,138938.0,94796.0,126513.0,161139.0,153405.0,151337.0,134512.0,172560.0,199040.0,227697.0,164341.0,173966.0,104180.0,245925.0,315551.0,257353.0,233011.0,270109.0,151467.0,179439.0,148711.0,130879.0,192660.0,155963.0,125064.0,179817.0,199368.0,251271.0,220547.0,256037.0,244046.0,210630.0,366831.0,324149.0,281057.0,264561.0,686820.0,1260542.0
2023-01-29 14:30:00+00:00,985092.0,634994.0,364269.0,813006.0,509580.0,325943.0,605702.0,413392.0,330752.0,344412.0,355365.0,281128.0,603611.0,347689.0,230426.0,537589.0,975417.0,379321.0,265734.0,298089.0,185467.0,513279.0,256725.0,183571.0,203928.0,228724.0,317673.0,261658.0,206029.0,332110.0,313663.0,35157.0,168591.0,206055.0,290206.0,289333.0,269298.0,268686.0,165160.0,140345.0,138938.0,94796.0,126513.0,161139.0,153405.0,151337.0,134512.0,172560.0,199040.0,227697.0,164341.0,173966.0,104180.0,245925.0,315551.0,257353.0,233011.0,270109.0,151467.0,179439.0,148711.0,130879.0,192660.0,155963.0,125064.0,179817.0,199368.0,251271.0,220547.0,256037.0,244046.0,210630.0,366831.0,324149.0,281057.0,264561.0,686820.0,1260542.0
2023-01-30 14:30:00+00:00,1351553.0,631278.0,501325.0,364043.0,342756.0,249301.0,284945.0,226370.0,394768.0,229334.0,231082.0,334256.0,242550.0,575120.0,341222.0,244610.0,185932.0,179299.0,213995.0,176323.0,240890.0,232471.0,177796.0,206671.0,157174.0,199263.0,179593.0,161308.0,104044.0,219765.0,111136.0,146697.0,124838.0,133348.0,108414.0,132350.0,103801.0,137785.0,115841.0,157059.0,172749.0,142167.0,125313.0,105708.0,81552.0,180420.0,140496.0,105919.0,185595.0,95284.0,126240.0,97947.0,95782.0,122846.0,124913.0,117328.0,86891.0,88523.0,94957.0,112592.0,120564.0,220865.0,177331.0,143139.0,119119.0,172578.0,203486.0,289375.0,418509.0,231818.0,291980.0,245636.0,307167.0,363008.0,310760.0,408473.0,677683.0,1365660.0
2023-01-31 14:30:00+00:00,944665.0,376179.0,402660.0,395470.0,293403.0,266153.0,300037.0,213768.0,235468.0,240164.0,234982.0,206556.0,185158.0,162682.0,141335.0,183725.0,196831.0,178375.0,196324.0,172809.0,200749.0,153923.0,160340.0,189194.0,211966.0,421565.0,197406.0,384749.0,197017.0,165074.0,182230.0,189538.0,117869.0,135807.0,179850.0,91613.0,111600.0,137780.0,171335.0,134237.0,138964.0,128046.0,195260.0,109339.0,90576.0,122138.0,121999.0,132919.0,83832.0,94877.0,130725.0,213365.0,111018.0,152682.0,132579.0,152028.0,174754.0,133016.0,100639.0,92796.0,108588.0,105780.0,127427.0,101730.0,159940.0,183462.0,275492.0,198264.0,287290.0,160235.0,198107.0,213359.0,279193.0,214677.0,170825.0,362166.0,726712.0,1330050.0
2023-02-01 14:30:00+00:00,963801.0,427517.0,296352.0,318814.0,327845.0,311416.0,412721.0,277483.0,205056.0,238692.0,441830.0,149398.0,244144.0,391705.0,224274.0,212781.0,182067.0,214535.0,153394.0,183259.0,207613.0,216216.0,224866.0,133920.0,159939.0,183158.0,128298.0,128444.0,147397.0,146606.0,181070.0,140314.0,167941.0,135952.0,158254.0,177502.0,113837.0,139130.0,130930.0,114599.0,215251.0,164648.0,187391.0,152697.0,148393.0,111127.0,85955.0,131204.0,127431.0,119032.0,144353.0,161184.0,84739.0,177354.0,505543.0,306495.0,265200.0,263171.0,183875.0,157120.0,690079.0,661468.0,645203.0,477474.0,441582.0,305441.0,398856.0,467177.0,309165.0,402342.0,258311.0,249674.0,303119.0,547942.0,415697.0,449778.0,792016.0,1013040.0
2023-02-02 14:30:00+00:00,3107785.0,1093811.0,794102.0,1151239.0,742652.0,526431.0,635380.0,515031.0,403044.0,540419.0,749495.0,567009.0,650081.0,374769.0,417352.0,488329.0,389092.0,414951.0,254556.0,409442.0,469020.0,364201.0,356135.0,354779.0,331405.0,443756.0,375810.0,319015.0,330818.0,259551.0,280520.0,371371.0,385779.0,395582.0,307565.0,225839.0,271700.0,256045.0,271250.0,360298.0,254910.0,275526.0,280519.0,448226.0,263599.0,245032.0,282612.0,340295.0,319241.0,326328.0,329423.0,394376.0,434600.0,532106.0,417256.0,286083.0,454042.0,318839.0,393256.0,377447.0,490421.0,375648.0,272514.0,300911.0,278626.0,328954.0,308315.0,398726.0,513519.0,477686.0,510318.0,425208.0,451883.0,601302.0,466425.0,622605.0,1097984.0,2062292.0
2023-02-03 14:30:00+00:00,3422504.0,1008463.0,908481.0,1182231.0,834198.0,1176825.0,889139.0,663226.0,447034.0,722473.0,673949.0,623606.0,779395.0,800618.0,811756.0,440472.0,428982.0,353581.0,242883.0,459906.0,331549.0,264654.0,202138.0,392075.0,297858.0,636395.0,302775.0,284596.0,244228.0,251495.0,249191.0,213722.0,174293.0,205838.0,210676.0,170351.0,312973.0,254352.0,233540.0,166563.0,203177.0,386787.0,281739.0,209758.0,177374.0,288680.0,209442.0,263668.0,282477.0,240828.0,180282.0,376290.0,312540.0,191501.0,174657.0,261271.0,141719.0,264302.0,305404.0,199504.0,321841.0,178603.0,150934.0,153028.0,202692.0,213001.0,235913.0,232509.0,237217.0,255164.0,221814.0,215390.0,244848.0,244346.0,321087.0,365737.0,772114.0,1229177.0
2023-02-04 14:30:00+00:00,3422504.0,1008463.0,908481.0,1182231.0,834198.0,1176825.0,889139.0,663226.0,447034.0,722473.0,673949.0,623606.0,779395.0,800618.0,811756.0,440472.0,428982.0,353581.0,242883.0,459906.0,331549.0,264654.0,202138.0,392075.0,297858.0,636395.0,302775.0,284596.0,244228.0,251495.0,249191.0,213722.0,174293.0,205838.0,210676.0,170351.0,312973.0,254352.0,233540.0,166563.0,203177.0,386787.0,281739.0,209758.0,177374.0,288680.0,209442.0,263668.0,282477.0,240828.0,180282.0,376290.0,312540.0,191501.0,174657.0,261271.0,141719.0,264302.0,305404.0,199504.0,321841.0,178603.0,150934.0,153028.0,202692.0,213001.0,235913.0,232509.0,237217.0,255164.0,221814.0,215390.0,244848.0,244346.0,321087.0,365737.0,772114.0,1229177.0
2023-02-05 14:30:00+00:00,3422504.0,1008463.0,908481.0,1182231.0,834198.0,1176825.0,889139.0,663226.0,447034.0,722473.0,673949.0,623606.0,779395.0,800618.0,811756.0,440472.0,428982.0,353581.0,242883.0,459906.0,331549.0,264654.0,202138.0,392075.0,297858.0,636395.0,302775.0,284596.0,244228.0,251495.0,249191.0,213722.0,174293.0,205838.0,210676.0,170351.0,312973.0,254352.0,233540.0,166563.0,203177.0,386787.0,281739.0,209758.0,177374.0,288680.0,209442.0,263668.0,282477.0,240828.0,180282.0,376290.0,312540.0,191501.0,174657.0,261271.0,141719.0,264302.0,305404.0,199504.0,321841.0,178603.0,150934.0,153028.0,202692.0,213001.0,235913.0,232509.0,237217.0,255164.0,221814.0,215390.0,244848.0,244346.0,321087.0,365737.0,772114.0,1229177.0
